App,Category,Rating,Reviews,Size in KB,Price,Content Rating,Current Version,Number of Languages
"CNN: Breaking US & World News, Live Video",News & Magazines,3.5,112886,80211,0.0,Teen,5.3,1
Gilt,Shopping,3.5,26353,148201,0.0,Everyone,5.1.3,2
,None,0.0,0,0,0.0,Unrated,,1
TRUTH or DARE!!! - FREE,Entertainment,3.0,171055,20795,0.0,Teen,5,1
Canabalt,Game,4.0,4540,27934,2.99,Everyone 10+,2.31,15
Alipay - Makes Life Easy,Lifestyle,3.0,1926,208309,0.0,Everyone,10.0.15,3
Scanner911 Pro,News & Magazines,4.0,14345,33812,3.99,Teen,4.0,1
Daily Teachings,Lifestyle,4.5,1340,20298,4.99,Everyone,1.7.3,1
Scanner Pro - PDF document scanner app with OCR,Business,4.5,31912,101346,3.99,Everyone,7.1.3,9
Twitter,News & Magazines,3.5,354058,210569,0.0,Mature 17+,6.79.1,33
"Trainline UK: Live Train Times, Tickets & Planner",Travel & Local,4.0,248,110198,0.0,Everyone,22,1
CBS News - Watch Free Live Breaking News,News & Magazines,3.5,11691,78047,0.0,Teen,3.5.1,1
iOvilus,Entertainment,3.0,381,9946,1.99,Teen,iOV 2.1.3,1
The Impossible Quiz!,Entertainment,4.0,18884,44652,0.0,Everyone 10+,1.62,1
,None,0.0,0,0,0.0,Unrated,,1
WolframAlpha,Books & Reference,4.0,7410,30369,2.99,Everyone 10+,1.7.3,1
Catan,Game,4.0,15175,376171,1.99,Everyone,4.6.2,6
ScanBizCards Business Card Reader,Business,4.0,3166,96815,0.99,Everyone,6.08,5
,None,0.0,0,0,0.0,Unrated,,1
"Walgreens – Pharmacy, Photo, Coupons and Shopping",Shopping,4.5,88885,169138,0.0,Teen,6.5,1
King of Dragon Pass,Game,5.0,882,364490,9.99,Teen,2.3.2,1
Stylebook,Lifestyle,4.0,1729,44135,3.99,Mature 17+,7.0,3
NBA,Sports,3.5,43682,112074,0.0,Everyone,2013.4.3,1
Blower,Entertainment,2.0,861,98942,0.99,Everyone,4.2,1
My Cycles Period and Ovulation Tracker,Health & Fitness,3.5,7469,77686,0.0,Teen,5.10.3,2
"Kmart – Download Now, Shop Online & Pick Up Today!",Shopping,3.5,4186,94496,0.0,Everyone,17.0,1
优酷视频,Entertainment,3.5,4885,204959,0.0,Teen,6.7.0,2
DOOM Classic,Game,4.0,3970,32796,4.99,Mature 17+,2.7,5
SoundCloud - Music & Audio,Music,4.0,135744,105009,0.0,Everyone,5.6.0,7
imo video calls and chat,Social,4.0,18841,22562,0.0,Everyone,7.0.84,29
Plane Finder - Flight Tracker,Maps & Navigation,4.0,1438,52632,3.99,Everyone,9.4.1,10
,None,0.0,0,0,0.0,Unrated,,1
"Runtastic Running, Jogging and Walking Tracker",Health & Fitness,4.5,10298,151388,0.0,Everyone,7.3,15
iFiles,Productivity,3.5,1842,47323,0.99,Everyone,1.17.11,1
TeachMe: Kindergarten,Education,4.0,2548,59846,1.99,Everyone,4.2.2,1
Moorhuhn Deluxe - Crazy Chicken,Game,3.0,319,27807,0.99,Teen,2.8.0,5
Victoria’s Secret – The Sexiest Bras & Lingerie,Shopping,3.5,34507,60976,0.0,Teen,5.2.1,1
MONOPOLY Game,Game,3.5,26482,194386,0.99,Everyone,1.4.04,6
,None,0.0,0,0,0.0,Unrated,,1
n-tv Nachrichten,News & Magazines,3.0,273,49470,0.0,Teen,5.25,1
Shazam Encore,Music,4.0,8331,147118,2.99,Teen,11.0.2,15
Harry Potter: Spells,Game,4.0,17023,125411,0.99,Everyone,2.2,1
First Words Deluxe,Game,4.0,1101,63316,4.99,Everyone,7.0,1
Clay Hunt,Game,4.0,1193,15313,0.99,Mature 17+,3.5.3,1
Dream Team - be your own fantasy football manager,Sports,2.5,35,69816,0.0,Mature 17+,12.8.0,1
Jet Car Stunts,Game,4.0,4088,32848,1.99,Everyone,1.5.0,1
Call of Duty: Zombies,Game,4.0,63943,52821,4.99,Mature 17+,1.5.0,1
"Walmart: Free 2-Day Shipping,* Easy Store Shopping",Shopping,3.0,70286,146507,0.0,Everyone,17.8,1
AirWatch Agent,Business,2.5,1150,24747,0.0,Everyone,5.5,19
Shop Savvy Barcode Scanner - Price Compare & Deals,Shopping,2.5,54630,89517,0.0,Everyone,12.0,1
Voice Changer Plus,Entertainment,3.0,98777,40722,0.0,Everyone,5.01,12
CatPaint,Photo & Video,4.0,649,73332,0.99,Everyone,3.5.1,1
Redbox,Entertainment,3.0,60236,83906,0.0,Teen,5.24,1
クックパッド - No.1料理レシピ検索アプリ,Food & Drink,3.5,115,76644,0.0,Everyone,17.5.1.0,1
Trenches,Game,4.0,26732,37340,0.99,Mature 17+,1.9.3,1
The Christmas List,Shopping,4.5,2722,26137,1.99,Everyone,2.1,1
Macy's,Shopping,3.5,11013,107816,0.0,Everyone,5.11.0,1
Calorie Counter & Diet Tracker by MyFitnessPal,Health & Fitness,4.5,507706,152700,0.0,Everyone,7.16,19
BlaBlaCar - Trusted Carpooling,Travel & Local,4.5,397,112024,0.0,Everyone,4.10.1,16
Refills Calendar - Scheduler - Note,Productivity,4.0,196,35864,9.99,Everyone,4.0.1,2
5-0 Radio Pro Police Scanner (Extra Feeds),News & Magazines,4.0,24553,49594,3.99,Everyone 10+,39.1,26
Hipstamatic,Photo & Video,3.5,12557,114081,2.99,Everyone,337,15
Sing Karaoke Songs Unlimited with StarMaker,Music,4.0,26227,91267,0.0,Everyone 10+,6.0.3,14
TurboScan™ Pro - document & receipt scanner: scan multiple pages and photos to PDF,Business,5.0,28388,8821,4.99,Everyone,2.8.2,9
,None,0.0,0,0,0.0,Unrated,,1
Positivity with Andrew Johnson,Health & Fitness,4.0,282,69513,2.99,Everyone,3.38,1
Rat On A Scooter XL,Game,4.0,19296,7767,0.99,Everyone,1.24.1,1
IMDb Movies & TV - Trailers and Showtimes,Entertainment,4.5,183425,88702,0.0,Teen,7.11,10
Angry Birds,Game,4.5,824451,175966,0.0,Everyone,7.4.0,10
DB Navigator,Travel & Local,3.5,512,84791,0.0,Everyone,17.04.00,2
Video Calls with Santa,Lifestyle,3.5,315,27997,2.99,Everyone,5.1,31
Voyages-sncf.com : book train and bus tickets,Travel & Local,3.5,268,131463,0.0,Everyone,38.0,6
The Font Game,Game,4.5,438,5415,1.99,Everyone,2.1,1
,None,0.0,0,0,0.0,Unrated,,1
ImmobilienScout24: Real Estate Search in Germany,Maps & Navigation,3.5,187,126867,0.0,Everyone,9.5,3
Grand Theft Auto: Chinatown Wars,Game,4.0,15142,878883,4.99,Mature 17+,4.4,6
Southwest Airlines,Travel & Local,3.0,30552,88773,0.0,Everyone,4.5.1,1
The Sims 3 World Adventures,Game,3.5,9744,812758,2.99,Teen,1.2.21,6
Star Chart,Education,4.5,13482,28616,0.0,Everyone,3.98,8
TaxCaster – Free tax refund calculator,Finance,3.5,17516,7111,0.0,Everyone,7.2,1
Glow Hockey 2 FREE,Game,3.5,186653,34056,0.0,Everyone,2.2.9,1
"Big Button Box - funny sounds, sound effects buttons, pro fx soundboard, fun games board, scary music, annoying fart noises, jokes, super cool dj effect, cat, dog & animal fx",Entertainment,4.0,10031,21450,0.99,Everyone,4.1,1
TV SPIELFILM - TV Programm mit Live TV,Entertainment,3.0,81,97879,0.0,Everyone,5.2,1
All-in-1 Logic GameBox,Game,4.0,9854,22299,0.99,Everyone,1.19,1
Roadside America,Travel & Local,4.0,1093,10231,2.99,Everyone 10+,1.9.0,1
Pocket Yoga,Health & Fitness,4.5,4475,132480,2.99,Everyone,5.3.2,2
